RUN_FM,FECHA_INF,SERIE,VALOR_CUOTA
9809,2024-01-02,APV,1311.729
9809,2024-01-02,APV-FREE,1265.3537
9810,2024-01-02,APV,1193.5444
9810,2024-01-02,APV-FREE,1000.0
9811,2024-01-02,APV,1451.3909
9811,2024-01-02,APV-FREE,1397.6157
9809,2024-01-03,APV,1307.644
9809,2024-01-03,APV-FREE,1261.4286
9810,2024-01-03,APV,1193.7109
9810,2024-01-03,APV-FREE,1000.0
9811,2024-01-03,APV,1441.532
9811,2024-01-03,APV-FREE,1388.1392
9809,2024-01-04,APV,1305.8803
9809,2024-01-04,APV-FREE,1259.7429
9810,2024-01-04,APV,1193.8997
9810,2024-01-04,APV-FREE,1000.0
9811,2024-01-04,APV,1438.5681
9811,2024-01-04,APV-FREE,1385.3021
9809,2024-01-05,APV,1313.264
9809,2024-01-05,APV-FREE,1266.8813
9810,2024-01-05,APV,1194.1188
9810,2024-01-05,APV-FREE,1000.0
9811,2024-01-05,APV,1452.5002
9811,2024-01-05,APV-FREE,1398.7356
9809,2024-01-06,APV,1313.2479
9809,2024-01-06,APV-FREE,1266.8813
9810,2024-01-06,APV,1194.1041
9810,2024-01-06,APV-FREE,1000.0
9811,2024-01-06,APV,1452.4823
9811,2024-01-06,APV-FREE,1398.7357
9809,2024-01-07,APV,1313.2317
9809,2024-01-07,APV-FREE,1266.8813
9810,2024-01-07,APV,1194.0894
9810,2024-01-07,APV-FREE,1000.0
9811,2024-01-07,APV,1452.4644
9811,2024-01-07,APV-FREE,1398.7357
9809,2024-01-08,APV,1328.4778
9809,2024-01-08,APV-FREE,1281.6051
9810,2024-01-08,APV,1194.6833
9810,2024-01-08,APV-FREE,1000.0
9811,2024-01-08,APV,1482.8142
9811,2024-01-08,APV-FREE,1427.9803
9809,2024-01-09,APV,1336.849
9809,2024-01-09,APV-FREE,1289.6968
9810,2024-01-09,APV,1194.547
9810,2024-01-09,APV-FREE,1000.0
9811,2024-01-09,APV,1498.6524
9811,2024-01-09,APV-FREE,1443.2506
9809,2024-01-10,APV,1343.6709
9809,2024-01-10,APV-FREE,1296.294
9810,2024-01-10,APV,1194.8302
9810,2024-01-10,APV-FREE,1000.0
9811,2024-01-10,APV,1511.7463
9811,2024-01-10,APV-FREE,1455.8785
9809,2024-01-11,APV,1337.9282
9809,2024-01-11,APV-FREE,1290.7696
9810,2024-01-11,APV,1195.1095
9810,2024-01-11,APV-FREE,1000.0
9811,2024-01-11,APV,1499.0531
9811,2024-01-11,APV-FREE,1443.6721
9809,2024-01-12,APV,1337.5255
9809,2024-01-12,APV-FREE,1290.3971
9810,2024-01-12,APV,1195.4259
9810,2024-01-12,APV-FREE,1000.0
9811,2024-01-12,APV,1496.4653
9811,2024-01-12,APV-FREE,1441.1976
9809,2024-01-13,APV,1337.509
9809,2024-01-13,APV-FREE,1290.3971
9810,2024-01-13,APV,1195.4112
9810,2024-01-13,APV-FREE,1000.0
9811,2024-01-13,APV,1496.4469
9811,2024-01-13,APV-FREE,1441.1976
9809,2024-01-14,APV,1337.4925
9809,2024-01-14,APV-FREE,1290.3971
9810,2024-01-14,APV,1195.3965
9810,2024-01-14,APV-FREE,1000.0
9811,2024-01-14,APV,1496.4284
9811,2024-01-14,APV-FREE,1441.1976
9809,2024-01-15,APV,1340.4802
9809,2024-01-15,APV-FREE,1293.2955
9810,2024-01-15,APV,1196.0663
9810,2024-01-15,APV-FREE,1000.0
9811,2024-01-15,APV,1501.5244
9811,2024-01-15,APV-FREE,1446.1233
9809,2024-01-16,APV,1345.041
9809,2024-01-16,APV-FREE,1297.7118
9810,2024-01-16,APV,1196.4132
9810,2024-01-16,APV-FREE,1000.0
9811,2024-01-16,APV,1508.3343
9811,2024-01-16,APV-FREE,1452.6999
9809,2024-01-17,APV,1344.0242
9809,2024-01-17,APV-FREE,1296.7469
9810,2024-01-17,APV,1196.763
9810,2024-01-17,APV-FREE,1000.0
9811,2024-01-17,APV,1505.9777
9811,2024-01-17,APV-FREE,1450.4481
9809,2024-01-18,APV,1343.7822
9809,2024-01-18,APV-FREE,1296.5293
9810,2024-01-18,APV,1196.9824
9810,2024-01-18,APV-FREE,1000.0
9811,2024-01-18,APV,1506.0871
9811,2024-01-18,APV-FREE,1450.5712
9809,2024-01-19,APV,1344.9093
9809,2024-01-19,APV-FREE,1297.6328
9810,2024-01-19,APV,1197.2336
9810,2024-01-19,APV-FREE,1000.0
9811,2024-01-19,APV,1509.4423
9811,2024-01-19,APV-FREE,1453.8206
9809,2024-01-20,APV,1344.8928
9809,2024-01-20,APV-FREE,1297.6328
9810,2024-01-20,APV,1197.2188
9810,2024-01-20,APV-FREE,1000.0
9811,2024-01-20,APV,1509.4237
9811,2024-01-20,APV-FREE,1453.8207
9809,2024-01-21,APV,1344.8762
9809,2024-01-21,APV-FREE,1297.6328
9810,2024-01-21,APV,1197.2041
9810,2024-01-21,APV-FREE,1000.0
9811,2024-01-21,APV,1509.4051
9811,2024-01-21,APV-FREE,1453.8207
9809,2024-01-22,APV,1341.5555
9809,2024-01-22,APV-FREE,1294.4447
9810,2024-01-22,APV,1197.7299
9810,2024-01-22,APV-FREE,1000.0
9811,2024-01-22,APV,1507.5114
9811,2024-01-22,APV-FREE,1452.0146
9809,2024-01-23,APV,1346.1423
9809,2024-01-23,APV-FREE,1298.8865
9810,2024-01-23,APV,1198.061
9810,2024-01-23,APV-FREE,1000.0
9811,2024-01-23,APV,1514.2481
9811,2024-01-23,APV-FREE,1458.5213
9809,2024-01-24,APV,1347.1009
9809,2024-01-24,APV-FREE,1299.8275
9810,2024-01-24,APV,1198.4445
9810,2024-01-24,APV-FREE,1000.0
9811,2024-01-24,APV,1513.8857
9811,2024-01-24,APV-FREE,1458.1903
9809,2024-01-25,APV,1353.3201
9809,2024-01-25,APV-FREE,1305.8445
9810,2024-01-25,APV,1198.8625
9810,2024-01-25,APV-FREE,1000.0
9811,2024-01-25,APV,1524.8396
9811,2024-01-25,APV-FREE,1468.7593
9809,2024-01-26,APV,1357.2038
9809,2024-01-26,APV-FREE,1309.6081
9810,2024-01-26,APV,1199.183
9810,2024-01-26,APV-FREE,1000.0
9811,2024-01-26,APV,1531.9801
9811,2024-01-26,APV-FREE,1475.6555
9809,2024-01-27,APV,1357.1871
9809,2024-01-27,APV-FREE,1309.6081
9810,2024-01-27,APV,1199.1682
9810,2024-01-27,APV-FREE,1000.0
9811,2024-01-27,APV,1531.9612
9811,2024-01-27,APV-FREE,1475.6555
9809,2024-01-28,APV,1357.1703
9809,2024-01-28,APV-FREE,1309.6081
9810,2024-01-28,APV,1199.1534
9810,2024-01-28,APV-FREE,1000.0
9811,2024-01-28,APV,1531.9424
9811,2024-01-28,APV-FREE,1475.6555
9809,2024-01-29,APV,1373.011
9809,2024-01-29,APV-FREE,1324.9099
9810,2024-01-29,APV,1199.8526
9810,2024-01-29,APV-FREE,1000.0
9811,2024-01-29,APV,1562.0669
9811,2024-01-29,APV-FREE,1504.6917
9809,2024-01-30,APV,1376.7142
9809,2024-01-30,APV-FREE,1328.4999
9810,2024-01-30,APV,1200.4256
9810,2024-01-30,APV-FREE,1000.0
9811,2024-01-30,APV,1566.646
9811,2024-01-30,APV-FREE,1509.1212
9809,2024-01-31,APV,1366.6496
9809,2024-01-31,APV-FREE,1318.804
9810,2024-01-31,APV,1200.7368
9810,2024-01-31,APV-FREE,1000.0
9811,2024-01-31,APV,1543.631
9811,2024-01-31,APV-FREE,1486.9696
9809,2024-02-01,APV,1380.0046
9809,2024-02-01,APV-FREE,1331.7079
9810,2024-02-01,APV,1201.3479
9810,2024-02-01,APV-FREE,1000.0
9811,2024-02-01,APV,1566.7798
9811,2024-02-01,APV-FREE,1509.2872
9809,2024-02-02,APV,1391.5687
9809,2024-02-02,APV-FREE,1342.8839
9810,2024-02-02,APV,1202.5672
9810,2024-02-02,APV-FREE,1000.0
9811,2024-02-02,APV,1586.3214
9811,2024-02-02,APV-FREE,1528.1305
9809,2024-02-03,APV,1391.5516
9809,2024-02-03,APV-FREE,1342.8839
