FECHA_INF,UF
2024-01-02,36805.92
2024-01-03,36814.21
2024-01-04,36822.49
2024-01-05,36830.78
2024-01-06,36839.07
2024-01-07,36847.36
2024-01-08,36855.65
2024-01-09,36863.94
2024-01-10,36857.98
2024-01-11,36852.02
2024-01-12,36846.06
2024-01-13,36840.1
2024-01-14,36834.15
2024-01-15,36828.19
2024-01-16,36822.24
2024-01-17,36816.29
2024-01-18,36810.33
2024-01-19,36804.38
2024-01-20,36798.43
2024-01-21,36792.48
2024-01-22,36786.53
2024-01-23,36780.58
2024-01-24,36774.64
2024-01-25,36768.69
2024-01-26,36762.75
2024-01-27,36756.8
2024-01-28,36750.86
2024-01-29,36744.92
2024-01-30,36738.98
2024-01-31,36733.04
2024-02-01,36727.1
2024-02-02,36721.16
2024-02-03,36715.22
2024-02-04,36709.29
2024-02-05,36703.35
2024-02-06,36697.42
2024-02-07,36691.48
2024-02-08,36685.55
2024-02-09,36679.62
2024-02-10,36688.44
2024-02-11,36697.27
2024-02-12,36706.1
2024-02-13,36714.93
2024-02-14,36723.76
2024-02-15,36732.6
2024-02-16,36741.43
2024-02-17,36750.27
2024-02-18,36759.11
2024-02-19,36767.95
2024-02-20,36776.8
2024-02-21,36785.65
2024-02-22,36794.5
2024-02-23,36803.35
2024-02-24,36812.2
2024-02-25,36821.06
2024-02-26,36829.92
2024-02-27,36838.78
2024-02-28,36847.64
2024-02-29,36856.5
2024-03-01,36865.37
2024-03-02,36874.24
2024-03-03,36883.11
2024-03-04,36891.98
2024-03-05,36900.86
2024-03-06,36909.73
2024-03-07,36918.61
2024-03-08,36927.49
2024-03-09,36936.38
2024-03-10,36943.51
2024-03-11,36950.64
2024-03-12,36957.77
2024-03-13,36964.9
2024-03-14,36972.04
2024-03-15,36979.17
2024-03-16,36986.31
2024-03-17,36993.44
2024-03-18,37000.58
2024-03-19,37007.72
2024-03-20,37014.87
2024-03-21,37022.01
2024-03-22,37029.16
2024-03-23,37036.3
2024-03-24,37043.45
2024-03-25,37050.6
2024-03-26,37057.75
2024-03-27,37064.9
2024-03-28,37072.05
2024-03-29,37079.21
2024-03-30,37086.36
2024-03-31,37093.52
2024-04-01,37100.68
2024-04-02,37107.84
2024-04-03,37115.0
2024-04-04,37122.16
2024-04-05,37129.33
2024-04-06,37136.49
2024-04-07,37143.66
2024-04-08,37150.83
2024-04-09,37158.0
2024-04-10,37162.94
2024-04-11,37167.89
2024-04-12,37172.84
2024-04-13,37177.78
2024-04-14,37182.73
2024-04-15,37187.68
2024-04-16,37192.63
2024-04-17,37197.58
2024-04-18,37202.53
2024-04-19,37207.48
2024-04-20,37212.43
2024-04-21,37217.38
2024-04-22,37222.33
2024-04-23,37227.29
2024-04-24,37232.24
2024-04-25,37237.2
2024-04-26,37242.15
2024-04-27,37247.11
2024-04-28,37252.06
2024-04-29,37257.02
2024-04-30,37261.98
2024-05-01,37266.94
2024-05-02,37271.9
2024-05-03,37276.86
2024-05-04,37281.82
2024-05-05,37286.78
2024-05-06,37291.74
2024-05-07,37296.7
2024-05-08,37301.67
2024-05-09,37306.63
2024-05-10,37312.63
2024-05-11,37318.64
2024-05-12,37324.64
2024-05-13,37330.65
2024-05-14,37336.65
2024-05-15,37342.66
2024-05-16,37348.67
2024-05-17,37354.68
2024-05-18,37360.69
2024-05-19,37366.7
2024-05-20,37372.71
2024-05-21,37378.73
2024-05-22,37384.74
2024-05-23,37390.76
2024-05-24,37396.77
2024-05-25,37402.79
2024-05-26,37408.81
2024-05-27,37414.83
2024-05-28,37420.85
2024-05-29,37426.87
2024-05-30,37432.89
2024-05-31,37438.91
2024-06-01,37444.94
2024-06-02,37450.96
2024-06-03,37456.99
2024-06-04,37463.01
2024-06-05,37469.04
2024-06-06,37475.07
2024-06-07,37481.1
2024-06-08,37487.13
2024-06-09,37493.16
2024-06-10,37496.9
2024-06-11,37500.65
2024-06-12,37504.39
2024-06-13,37508.14
2024-06-14,37511.88
2024-06-15,37515.63
2024-06-16,37519.38
2024-06-17,37523.12
2024-06-18,37526.87
2024-06-19,37530.62
2024-06-20,37534.36
2024-06-21,37538.11
2024-06-22,37541.86
2024-06-23,37545.61
2024-06-24,37549.36
2024-06-25,37553.11
2024-06-26,37556.86
2024-06-27,37560.61
2024-06-28,37564.36
2024-06-29,37568.11
2024-06-30,37571.86
2024-07-01,37575.61
2024-07-02,37579.36
2024-07-03,37583.12
2024-07-04,37586.87
2024-07-05,37590.62
2024-07-06,37594.38
2024-07-07,37598.13
2024-07-08,37601.88
2024-07-09,37605.64
2024-07-10,37604.43
2024-07-11,37603.21
2024-07-12,37602.0
2024-07-13,37600.79
2024-07-14,37599.57
2024-07-15,37598.36
2024-07-16,37597.15
2024-07-17,37595.93
2024-07-18,37594.72
2024-07-19,37593.51
2024-07-20,37592.29
2024-07-21,37591.08
2024-07-22,37589.87
2024-07-23,37588.65
2024-07-24,37587.44
2024-07-25,37586.23
2024-07-26,37585.01
2024-07-27,37583.8
2024-07-28,37582.59
2024-07-29,37581.37
2024-07-30,37580.16
2024-07-31,37578.95
